Source,Target,Weight
田福军,爱云,14
田福军,孙少安,16
田福军,白明川,14
田福军,张有智,113
田福军,周文龙,36
田福军,苗凯,98
田福军,乔伯年,27
田福军,吴斌,18
冯世宽,田福军,92
冯世宽,李登云,38
冯世宽,张有智,11
冯世宽,苗凯,45
金俊文,金俊武,62
金俊文,田福堂,20
金俊文,王彩娥,12
金俊文,孙玉亭,15
金俊文,金强,11
金俊文,金光亮,12
刘根民,徐治功,27
刘根民,田福堂,10
爱云,田福军,14
爱云,李登云,10
爱云,徐国强,11
爱云,田福堂,10
李登云,徐国强,17
李登云,田福军,61
李登云,冯世宽,38
李登云,爱云,10
李登云,田润叶,21
李登云,张有智,16
白明川,田福军,14
白明川,徐治功,62
白明川,田福堂,44
白明川,周文龙,14
白明川,张有智,12
田海民,孙玉亭,38
田海民,田福堂,29
田海民,金俊武,22
田海民,金俊山,11
田海民,刘玉升,15
金强,孙玉亭,51
金强,金俊文,11
金强,金俊武,22
王彩娥,金俊文,12
王彩娥,金俊武,21
王彩娥,孙玉亭,38
王彩娥,田福堂,13
王彩娥,刘玉升,11
秀莲,孙少安,15
张有智,田福军,113
张有智,周文龙,22
张有智,白明川,12
张有智,冯世宽,11
张有智,李登云,16
张有智,徐治功,12
周文龙,白明川,14
周文龙,田福军,36
周文龙,张有智,22
武惠良,丽丽,11
苗凯,冯世宽,45
苗凯,田福军,98
苗凯,吴斌,29
刘玉升,田海民,15
刘玉升,田福堂,11
刘玉升,王彩娥,11
刘玉升,孙玉亭,34
刘玉升,孙玉厚,38
刘玉升,孙少安,12
刘玉升,金光亮,12
乔伯年,田福军,27
丽丽,武惠良,11
吴斌,苗凯,29
吴斌,田福军,18
吴月琴,冯国斌,18
冯国斌,吴月琴,18
胡永合,孙少安,19
安锁子,孙少平,10
惠英嫂,孙少平,17
吴仲平,兰香,17
